Location,Date,Age,Length
BR,5/15/2000,1,91
BR,5/15/2000,1,91
BR,5/15/2000,1,100
BR,5/15/2000,1,97
BR,5/16/2000,1,93
BR,5/16/2000,1,91
BR,5/16/2000,1,101
BR,5/16/2000,1,97
BR,5/16/2000,1,109
BR,5/16/2000,1,94
BR,5/17/2000,1,113
BR,5/17/2000,1,
BR,5/17/2000,1,95
BR,5/17/2000,1,88
BR,5/17/2000,1,105
BR,5/17/2000,1,96
BR,5/17/2000,1,103
BR,5/18/2000,1,97
BR,5/18/2000,1,99
BR,5/18/2000,1,81
BR,5/18/2000,1,95
BR,5/18/2000,1,91
BR,5/18/2000,1,98
BR,5/18/2000,1,97
BR,5/18/2000,1,105
BR,5/18/2000,1,95
BR,5/18/2000,1,87
BR,5/18/2000,1,95
BR,5/18/2000,1,91
BR,5/18/2000,1,102
BR,5/18/2000,1,94
BR,5/19/2000,1,92
BR,5/19/2000,1,103
BR,5/19/2000,1,90
BR,5/19/2000,1,89
BR,5/19/2000,1,105
BR,5/19/2000,1,97
BR,5/19/2000,1,99
BR,5/19/2000,1,104
BR,5/19/2000,1,103
BR,5/19/2000,1,95
BR,5/19/2000,1,84
BR,5/19/2000,1,102
BR,5/19/2000,1,90
BR,5/19/2000,1,95
BR,5/19/2000,1,92
BR,5/19/2000,1,91
BR,5/19/2000,1,85
BR,5/20/2000,1,95
BR,5/20/2000,1,92
BR,5/20/2000,1,113
BR,5/20/2000,1,97
BR,5/20/2000,1,97
BR,5/20/2000,1,106
BR,5/20/2000,1,98
BR,5/20/2000,1,92
BR,5/20/2000,1,89
BR,5/21/2000,1,106
BR,5/22/2000,1,92
BR,5/22/2000,1,100
BR,5/23/2000,1,87
BR,5/23/2000,1,108
BR,5/23/2000,1,107
BR,5/23/2000,1,90
BR,5/23/2000,1,88
BR,5/24/2000,1,95
BR,5/24/2000,1,92
BR,5/24/2000,1,91
BR,5/24/2000,1,94
BR,5/24/2000,1,100
BR,5/24/2000,1,94
BR,5/25/2000,1,87
BR,5/25/2000,1,94
BR,5/25/2000,1,88
BR,5/25/2000,1,97
BR,5/25/2000,1,117
BR,5/25/2000,1,90
BR,5/26/2000,1,102
BR,5/26/2000,1,113
BR,5/26/2000,1,97
BR,5/26/2000,1,98
BR,5/26/2000,1,92
BR,5/26/2000,1,117
BR,5/27/2000,1,92
BR,5/27/2000,1,103
BR,5/27/2000,1,108
BR,5/27/2000,1,105
BR,5/27/2000,1,98
BR,5/27/2000,1,101
BR,5/27/2000,1,96
BR,5/27/2000,1,88
BR,5/28/2000,1,116
BR,5/28/2000,1,113
BR,5/28/2000,1,125
BR,5/28/2000,1,92
BR,5/28/2000,1,93
BR,5/28/2000,1,97
BR,5/28/2000,1,96
BR,5/29/2000,1,85
BR,5/29/2000,1,94
BR,5/29/2000,1,95
BR,5/29/2000,1,109
BR,5/29/2000,1,94
BR,5/29/2000,1,97
BR,5/29/2000,1,91
BR,5/30/2000,1,90
BR,5/30/2000,1,95
BR,5/30/2000,1,98
BR,5/30/2000,1,97
BR,5/30/2000,1,101
BR,5/30/2000,1,98
BR,5/30/2000,1,100
BR,5/30/2000,1,101
BR,5/30/2000,1,101
BR,5/30/2000,1,92
BR,5/30/2000,1,96
BR,6/1/2000,1,98
BR,6/1/2000,1,95
BR,6/1/2000,1,107
BR,6/1/2000,1,100
BR,6/1/2000,1,112
BR,6/1/2000,1,94
BR,6/1/2000,1,105
BR,6/1/2000,1,112
BR,6/1/2000,1,100
BR,6/1/2000,1,96
BR,6/1/2000,1,95
BR,6/1/2000,1,90
BR,6/1/2000,1,106
BR,6/1/2000,1,100
BR,6/2/2000,1,100
BR,6/2/2000,1,100
BR,6/2/2000,1,105
BR,6/2/2000,1,104
BR,6/2/2000,1,102
BR,6/2/2000,1,102
BR,6/2/2000,1,95
BR,6/2/2000,1,98
BR,6/2/2000,1,97
BR,6/2/2000,1,107
BR,6/3/2000,1,108
BR,6/3/2000,1,99
BR,6/3/2000,1,100
BR,6/3/2000,1,96
BR,6/3/2000,1,110
BR,6/3/2000,1,110
BR,6/3/2000,1,97
BR,6/3/2000,1,112
BR,6/3/2000,1,111
BR,6/3/2000,1,105
BR,6/4/2000,1,99
BR,6/4/2000,1,107
BR,6/4/2000,1,100
BR,6/4/2000,1,105
BR,6/4/2000,1,105
BR,6/4/2000,1,108
BR,6/4/2000,1,97
BR,6/4/2000,1,105
BR,6/4/2000,1,97
BR,6/4/2000,1,95
BR,6/5/2000,1,86
BR,6/5/2000,1,110
BR,6/5/2000,1,95
BR,6/5/2000,1,102
BR,6/5/2000,1,96
BR,6/5/2000,1,104
BR,6/5/2000,1,97
BR,6/5/2000,1,106
BR,6/5/2000,1,105
BR,6/5/2000,1,99
BR,6/6/2000,1,98
BR,6/6/2000,1,98
BR,6/6/2000,1,109
BR,6/6/2000,1,96
BR,6/6/2000,1,106
BR,6/6/2000,1,100
BR,6/6/2000,1,101
BR,6/6/2000,1,103
BR,6/6/2000,1,104
BR,6/6/2000,1,97
BR,6/7/2000,1,98
BR,6/7/2000,1,105
BR,6/7/2000,1,111
BR,6/7/2000,1,105
BR,6/7/2000,1,104
BR,6/7/2000,1,
BR,6/7/2000,1,96
BR,6/7/2000,1,110
BR,6/7/2000,1,94
BR,6/7/2000,1,100
BR,5/11/2000,2,110
BR,5/12/2000,2,105
BR,5/13/2000,2,105
BR,5/13/2000,2,120
BR,5/14/2000,2,118
BR,5/14/2000,2,116
BR,5/14/2000,2,114
BR,5/14/2000,2,101
BR,5/15/2000,2,115
BR,5/16/2000,2,117
BR,5/16/2000,2,113
BR,5/16/2000,2,100
BR,5/17/2000,2,101
BR,5/17/2000,2,113
BR,5/18/2000,2,110
BR,5/18/2000,2,130
BR,5/18/2000,2,115
BR,5/18/2000,2,105
BR,5/19/2000,2,112
BR,5/19/2000,2,107
BR,5/19/2000,2,110
BR,5/19/2000,2,105
BR,5/19/2000,2,103
BR,5/19/2000,2,122
BR,5/19/2000,2,104
BR,5/20/2000,2,121
BR,5/21/2000,2,111
BR,5/21/2000,2,111
BR,5/21/2000,2,110
BR,5/21/2000,2,112
BR,5/21/2000,2,109
BR,5/22/2000,2,108
BR,5/22/2000,2,107
BR,5/22/2000,2,116
BR,5/23/2000,2,119
BR,5/23/2000,2,123
BR,5/24/2000,2,115
BR,5/24/2000,2,117
BR,5/24/2000,2,113
BR,5/24/2000,2,121
BR,5/25/2000,2,115
BR,5/25/2000,2,116
BR,5/25/2000,2,118
BR,5/25/2000,2,107
BR,5/26/2000,2,101
BR,5/26/2000,2,109
BR,5/26/2000,2,123
BR,5/26/2000,2,113
BR,5/27/2000,2,106
BR,5/27/2000,2,112
BR,5/27/2000,2,115
BR,5/27/2000,2,104
BR,5/28/2000,2,117
BR,5/28/2000,2,113
BR,5/28/2000,2,104
BR,5/29/2000,2,120
BR,5/29/2000,2,115
BR,5/29/2000,2,117
BR,5/15/2001,1,98
BR,5/15/2001,1,90
BR,5/15/2001,1,100
BR,5/15/2001,1,109
BR,5/15/2001,1,115
BR,5/15/2001,1,111
BR,5/16/2001,1,115
BR,5/16/2001,1,90
BR,5/16/2001,1,121
BR,5/16/2001,1,93
BR,5/16/2001,1,100
BR,5/16/2001,1,108
BR,5/17/2001,1,91
BR,5/17/2001,1,93
BR,5/17/2001,1,122
BR,5/17/2001,1,92
BR,5/17/2001,1,92
BR,5/18/2001,1,95
BR,5/18/2001,1,110
BR,5/18/2001,1,90
BR,5/18/2001,1,100
BR,5/18/2001,1,111
BR,5/18/2001,1,82
BR,5/19/2001,1,101
BR,5/19/2001,1,91
BR,5/19/2001,1,103
BR,5/19/2001,1,95
BR,5/19/2001,1,90
BR,5/19/2001,1,88
BR,5/19/2001,1,89
BR,5/19/2001,1,105
BR,5/19/2001,1,92
BR,5/19/2001,1,98
BR,5/20/2001,1,96
BR,5/20/2001,1,90
BR,5/20/2001,1,90
BR,5/20/2001,1,114
BR,5/20/2001,1,109
BR,5/21/2001,1,97
BR,5/21/2001,1,100
BR,5/21/2001,1,97
BR,5/21/2001,1,96
BR,5/21/2001,1,98
BR,5/21/2001,1,95
BR,5/21/2001,1,101
BR,5/21/2001,1,118
BR,5/21/2001,1,95
BR,5/22/2001,1,95
BR,5/22/2001,1,105
BR,5/22/2001,1,87
BR,5/22/2001,1,94
BR,5/22/2001,1,92
BR,5/22/2001,1,112
BR,5/22/2001,1,96
BR,5/22/2001,1,88
BR,5/22/2001,1,106
BR,5/22/2001,1,101
BR,5/22/2001,1,106
BR,5/22/2001,1,105
BR,5/22/2001,1,96
BR,5/22/2001,1,108
BR,5/22/2001,1,111
BR,5/22/2001,1,118
BR,5/22/2001,1,84
BR,5/23/2001,1,91
BR,5/23/2001,1,112
BR,5/23/2001,1,100
BR,5/23/2001,1,88
BR,5/23/2001,1,97
BR,5/25/2001,1,105
BR,5/25/2001,1,92
BR,5/25/2001,1,99
BR,5/25/2001,1,119
BR,5/26/2001,1,93
BR,5/26/2001,1,119
BR,5/26/2001,1,110
BR,5/26/2001,1,97
BR,5/27/2001,1,93
BR,5/27/2001,1,101
BR,5/27/2001,1,90
BR,5/27/2001,1,
BR,5/27/2001,1,97
BR,5/27/2001,1,95
BR,5/28/2001,1,102
BR,5/28/2001,1,84
BR,5/28/2001,1,87
BR,5/28/2001,1,86
BR,5/28/2001,1,80
BR,5/28/2001,1,102
BR,5/28/2001,1,87
BR,5/28/2001,1,96
BR,5/29/2001,1,89
BR,5/29/2001,1,104
BR,5/29/2001,1,86
BR,5/29/2001,1,
BR,5/29/2001,1,95
BR,5/29/2001,1,91
BR,5/29/2001,1,100
BR,5/29/2001,1,112
BR,5/29/2001,1,116
BR,5/29/2001,1,93
BR,5/29/2001,1,93
BR,5/30/2001,1,95
BR,5/30/2001,1,106
BR,5/30/2001,1,87
BR,5/30/2001,1,105
BR,5/30/2001,1,93
BR,5/30/2001,1,97
BR,5/30/2001,1,87
BR,5/30/2001,1,89
BR,6/1/2001,1,92
BR,6/1/2001,1,101
BR,6/1/2001,1,93
BR,6/1/2001,1,98
BR,6/1/2001,1,94
BR,6/1/2001,1,100
BR,6/1/2001,1,95
BR,6/1/2001,1,104
BR,6/1/2001,1,85
BR,6/1/2001,1,90
BR,6/1/2001,1,93
BR,6/1/2001,1,92
BR,6/1/2001,1,82
BR,6/2/2001,1,90
BR,6/3/2001,1,86
BR,6/3/2001,1,89
BR,6/3/2001,1,91
BR,6/3/2001,1,103
BR,6/3/2001,1,102
BR,6/4/2001,1,100
BR,6/4/2001,1,95
BR,6/4/2001,1,90
BR,6/4/2001,1,97
BR,6/4/2001,1,91
BR,6/5/2001,1,94
BR,6/5/2001,1,96
BR,6/5/2001,1,86
BR,6/5/2001,1,98
BR,6/6/2001,1,82
BR,6/6/2001,1,95
BR,6/6/2001,1,97
BR,6/6/2001,1,103
BR,6/6/2001,1,94
BR,6/6/2001,1,95
BR,6/7/2001,1,94
BR,6/7/2001,1,97
BR,6/7/2001,1,94
BR,6/7/2001,1,96
BR,6/7/2001,1,88
BR,6/7/2001,1,83
